"","symbol","cases","ctrls","Odds ratio","95% CIs","P value","Adj. P value"
"MAN1A2","MAN1A2",2,11,1.119,"0.12-5.136",0.701727828969992,1
"MAN1B1","MAN1B1",3,33,0.558,"0.109-1.784",0.469538116936765,1
"MAN1C1","MAN1C1",6,13,2.849,"0.886-8.057",0.0396663268326975,1
"MAN2A1","MAN2A1",6,24,1.541,"0.514-3.882",0.29881183571356,1
"MAN2A2","MAN2A2",11,27,2.522,"1.125-5.271",0.0156190712738666,1
"MAN2B1","MAN2B1",5,32,0.961,"0.292-2.492",1,1
"MAN2B2","MAN2B2",7,50,0.86,"0.328-1.914",0.848911807110926,1
"MAN2C1","MAN2C1",10,30,2.06,"0.896-4.346",0.0625004793313179,1
"MANBA","MANBA",3,21,0.878,"0.167-2.949",1,1
"MANBAL","MANBAL",0,1,0,"0-239.007",1,1
"MANEA","MANEA",6,18,2.056,"0.667-5.423",0.134520332742599,1
"MANEAL","MANEAL",0,11,0,"0-2.451",0.381372621441588,1
"MANF","MANF",0,5,0,"0-6.716",1,1
"MANSC1","MANSC1",2,9,1.368,"0.144-6.62",0.658821194906285,1
"MANSC4","MANSC4",1,2,3.077,"0.052-59.188",0.363621084433827,1
"MAOA","MAOA",1,7,0.879,"0.019-6.851",1,1
"MAOB","MAOB",0,5,0,"0-6.716",1,1
"MAP10","MAP10",7,27,1.599,"0.586-3.776",0.315583990917852,1
"MAP1A","MAP1A",13,59,1.36,"0.682-2.519",0.306002352671253,1
"MAP1B","MAP1B",14,44,1.97,"0.993-3.679",0.0346373654137723,1
"MAP1LC3A","MAP1LC3A",0,5,0,"0-6.716",1,1
"MAP1LC3B","MAP1LC3B",3,4,4.623,"0.676-27.353",0.0616957084007511,1
"MAP1LC3B2","MAP1LC3B2",4,7,3.524,"0.755-13.89",0.0556606987162643,1
"MAP1LC3C","MAP1LC3C",1,6,1.025,"0.022-8.464",1,1
"MAP1S","MAP1S",4,38,0.646,"0.167-1.8",0.508108913908177,1
"MAP2","MAP2",6,38,0.971,"0.335-2.323",1,1
"MAP2K1","MAP2K1",0,3,0,"0-14.893",1,1
"MAP2K2","MAP2K2",2,12,1.025,"0.111-4.615",1,1
"MAP2K3","MAP2K3",6,13,2.849,"0.886-8.057",0.0396663268326975,1
"MAP2K4","MAP2K4",2,3,4.106,"0.343-35.884",0.146321784034376,1
"MAP2K5","MAP2K5",1,6,1.025,"0.022-8.464",1,1
"MAP2K7","MAP2K7",0,17,0,"0-1.489",0.154306318997083,1
"MAP3K1","MAP3K1",4,39,0.63,"0.163-1.75",0.508796826464718,1
"MAP3K10","MAP3K10",5,28,1.099,"0.331-2.891",0.801374046036499,1
"MAP3K11","MAP3K11",9,31,1.793,"0.748-3.872",0.16430943898622,1
"MAP3K12","MAP3K12",3,15,1.231,"0.228-4.362",0.731093398242643,1
"MAP3K13","MAP3K13",2,19,0.647,"0.073-2.688",0.758010506082774,1
"MAP3K15","MAP3K15",11,29,2.347,"1.055-4.858",0.0207116198967523,1
"MAP3K19","MAP3K19",4,23,1.07,"0.268-3.141",0.784502510956041,1
"MAP3K2","MAP3K2",1,12,0.512,"0.012-3.468",1,1
"MAP3K3","MAP3K3",1,8,0.769,"0.017-5.744",1,1
"MAP3K4","MAP3K4",5,31,0.992,"0.301-2.582",1,1
"MAP3K5","MAP3K5",8,20,2.471,"0.939-5.877",0.0480881419284954,1
"MAP3K6","MAP3K6",8,53,0.928,"0.38-1.972",1,1
"MAP3K7","MAP3K7",0,8,0,"0-3.605",0.610068929015988,1
"MAP3K7CL","MAP3K7CL",1,8,0.769,"0.017-5.744",1,1
"MAP3K8","MAP3K8",2,7,1.759,"0.178-9.255",0.365109577660504,1
"MAP3K9","MAP3K9",16,40,2.483,"1.293-4.554",0.00541394784674699,1
"MAP4","MAP4",6,32,1.154,"0.394-2.808",0.644781089050364,1
"MAP4K1","MAP4K1",5,18,1.712,"0.496-4.798",0.358532331212776,1
"MAP4K2","MAP4K2",7,23,1.878,"0.679-4.535",0.179224570286096,1
"MAP4K3","MAP4K3",7,23,1.878,"0.679-4.535",0.179224570286096,1
"MAP4K4","MAP4K4",5,19,1.622,"0.472-4.503",0.369253344532591,1
"MAP4K5","MAP4K5",2,15,0.82,"0.091-3.534",1,1
"MAP6","MAP6",2,12,1.025,"0.111-4.615",1,1
"MAP6D1","MAP6D1",3,8,2.31,"0.394-9.644",0.190882615970189,1
"MAP7","MAP7",9,26,2.139,"0.879-4.726",0.0520586082166697,1
"MAP7D1","MAP7D1",12,40,1.855,"0.883-3.622",0.0689510007764691,1
"MAP7D2","MAP7D2",5,26,1.184,"0.354-3.142",0.793547316350366,1
"MAP7D3","MAP7D3",7,6,7.214,"2.072-26.042",0.000813252383407891,1
"MAP9","MAP9",3,18,1.025,"0.193-3.521",1,1
"MAPK1","MAPK1",0,1,0,"0-239.007",1,1
"MAPK10","MAPK10",1,6,1.025,"0.022-8.464",1,1
"MAPK11","MAPK11",0,10,0,"0-2.745",0.375510171744492,1
"MAPK12","MAPK12",7,17,2.543,"0.889-6.471",0.0677371628519193,1
"MAPK13","MAPK13",2,17,0.723,"0.081-3.054",1,1
"MAPK14","MAPK14",0,1,0,"0-239.007",1,1
"MAPK15","MAPK15",4,25,0.984,"0.248-2.859",1,1
"MAPK1IP1L","MAPK1IP1L",1,7,0.879,"0.019-6.851",1,1
"MAPK3","MAPK3",1,16,0.384,"0.009-2.476",0.496145436788319,1
"MAPK4","MAPK4",8,28,1.763,"0.693-3.985",0.150263773823295,1
"MAPK6","MAPK6",2,18,0.683,"0.077-2.859",1,1
"MAPK7","MAPK7",6,19,1.948,"0.635-5.088",0.14891550394642,1
"MAPK8","MAPK8",0,6,0,"0-5.227",1,1
"MAPK8IP1","MAPK8IP1",4,16,1.54,"0.374-4.786",0.511840078855896,1
"MAPK8IP2","MAPK8IP2",4,27,0.911,"0.231-2.622",1,1
"MAPK8IP3","MAPK8IP3",6,29,1.274,"0.431-3.133",0.622339269721269,1
"MAPK9","MAPK9",3,7,2.64,"0.44-11.587",0.154003911264573,1
"MAPKAP1","MAPKAP1",2,9,1.368,"0.144-6.62",0.658821194906285,1
"MAPKAPK2","MAPKAPK2",2,4,3.079,"0.278-21.514",0.199849978045513,1
"MAPKAPK3","MAPKAPK3",3,9,2.053,"0.357-8.245",0.22966252990832,1
"MAPKAPK5","MAPKAPK5",1,10,0.615,"0.014-4.33",1,1
"MAPKBP1","MAPKBP1",7,22,1.964,"0.707-4.775",0.112572186814865,1
"MAPRE1","MAPRE1",0,1,0,"0-239.007",1,1
"MAPRE2","MAPRE2",3,2,9.246,"1.058-110.869",0.0218867658035343,1
"MAPRE3","MAPRE3",1,3,2.051,"0.039-25.583",0.452645520331089,1
"MAPT","MAPT",8,24,2.058,"0.797-4.751",0.0765854086621856,1
"MARC1","MARC1",3,7,2.64,"0.44-11.587",0.154003911264573,1
"MARC2","MARC2",2,10,1.231,"0.131-5.787",0.679878101976289,1
"MARCH1","MARCH1",1,7,0.879,"0.019-6.851",1,1
"MARCH10","MARCH10",3,19,0.971,"0.184-3.308",1,1
"MARCH11","MARCH11",4,14,1.76,"0.421-5.62",0.30354301091107,1
"MARCH2","MARCH2",3,3,6.164,"0.824-46.064",0.0392653960121015,1
"MARCH3","MARCH3",0,12,0,"0-2.214",0.39347571054441,1
"MARCH4","MARCH4",2,14,0.879,"0.097-3.834",1,1
"MARCH6","MARCH6",0,9,0,"0-3.117",0.622676612666482,1
"MARCH7","MARCH7",6,14,2.645,"0.831-7.348",0.05018588530236,1
"MARCH8","MARCH8",2,7,1.759,"0.178-9.255",0.365109577660504,1
"MARCH9","MARCH9",2,8,1.539,"0.159-7.725",0.639392254739406,1
"MARCKS","MARCKS",2,14,0.879,"0.097-3.834",1,1
"MARCKSL1","MARCKSL1",2,7,1.759,"0.178-9.255",0.365109577660504,1
"MARCO","MARCO",1,10,0.615,"0.014-4.33",1,1
"MARK1","MARK1",1,18,0.341,"0.008-2.165",0.50323536378801,1
"MARK2","MARK2",3,17,1.086,"0.204-3.763",0.752971839014173,1
"MARK3","MARK3",6,19,1.948,"0.635-5.088",0.14891550394642,1
"MARK4","MARK4",5,17,1.813,"0.522-5.133",0.220866241845021,1
"MARS","MARS",7,21,2.057,"0.737-5.04",0.100320660083949,1
"MARS2","MARS2",1,16,0.384,"0.009-2.476",0.496145436788319,1
"MARVELD1","MARVELD1",0,4,0,"0-9.323",1,1
"MARVELD2","MARVELD2",4,15,1.643,"0.396-5.169",0.326861544700347,1
"MARVELD3","MARVELD3",3,16,1.154,"0.215-4.041",0.741504891089014,1
"MAS1","MAS1",3,7,2.64,"0.44-11.587",0.154003911264573,1
"MAS1L","MAS1L",0,7,0,"0-4.27",0.603344925597232,1
"MASP1","MASP1",2,17,0.723,"0.081-3.054",1,1
"MASP2","MASP2",4,27,0.911,"0.231-2.622",1,1
"MAST1","MAST1",4,19,1.296,"0.32-3.91",0.552339193553217,1
"MAST2","MAST2",12,66,1.12,"0.549-2.099",0.741932063491897,1
"MAST3","MAST3",6,34,1.086,"0.372-2.626",0.819010402915995,1
"MAST4","MAST4",22,90,1.514,"0.9-2.449",0.0977330902525731,1
"MASTL","MASTL",5,21,1.467,"0.431-4.009",0.398019319083079,1
"MAT1A","MAT1A",5,13,2.372,"0.661-7.109",0.0952232307268908,1
"MAT2B","MAT2B",1,6,1.025,"0.022-8.464",1,1
"MATK","MATK",8,17,2.909,"1.084-7.135",0.017034831543374,1
"MATN1","MATN1",8,19,2.602,"0.983-6.244",0.0441280419239615,1
"MATN2","MATN2",6,24,1.541,"0.514-3.882",0.29881183571356,1
"MATN3","MATN3",4,20,1.231,"0.305-3.685",0.765639688844986,1
"MATN4","MATN4",4,25,0.984,"0.248-2.859",1,1
"MATR3","MATR3",3,15,1.231,"0.228-4.362",0.731093398242643,1
"MAU2","MAU2",1,7,0.879,"0.019-6.851",1,1
"MAVS","MAVS",3,11,1.679,"0.3-6.372",0.431542721818455,1
"MAX","MAX",0,3,0,"0-14.893",1,1
"MAZ","MAZ",3,14,1.319,"0.243-4.737",0.722097011321823,1
"MB","MB",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MB21D1","MB21D1",2,18,0.683,"0.077-2.859",1,1
"MB21D2","MB21D2",0,11,0,"0-2.451",0.381372621441588,1
"MBD1","MBD1",2,17,0.723,"0.081-3.054",1,1
"MBD2","MBD2",3,11,1.679,"0.3-6.372",0.431542721818455,1
"MBD3","MBD3",2,15,0.82,"0.091-3.534",1,1
"MBD3L1","MBD3L1",0,5,0,"0-6.716",1,1
"MBD3L2","MBD3L2",1,0,Inf,"0.158-Inf",0.139835645965243,1
"MBD4","MBD4",2,22,0.558,"0.064-2.277",0.565568150629973,1
"MBD5","MBD5",7,32,1.348,"0.501-3.12",0.4846360456666,1
"MBD6","MBD6",5,32,0.961,"0.292-2.492",1,1
"MBIP","MBIP",2,8,1.539,"0.159-7.725",0.639392254739406,1
"MBL2","MBL2",2,7,1.759,"0.178-9.255",0.365109577660504,1
"MBLAC1","MBLAC1",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MBLAC2","MBLAC2",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MBNL1","MBNL1",0,7,0,"0-4.27",0.603344925597232,1
"MBNL2","MBNL2",4,7,3.524,"0.755-13.89",0.0556606987162643,1
"MBNL3","MBNL3",3,9,2.053,"0.357-8.245",0.22966252990832,1
"MBOAT1","MBOAT1",2,16,0.768,"0.086-3.276",1,1
"MBOAT2","MBOAT2",1,9,0.683,"0.016-4.939",1,1
"MBOAT4","MBOAT4",1,9,0.683,"0.016-4.939",1,1
"MBOAT7","MBOAT7",4,29,0.848,"0.216-2.422",1,1
"MBP","MBP",2,7,1.759,"0.178-9.255",0.365109577660504,1
"MBTD1","MBTD1",5,8,3.857,"0.991-13.403",0.025799803270128,1
"MBTPS1","MBTPS1",6,39,0.946,"0.326-2.258",1,1
"MBTPS2","MBTPS2",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MC1R","MC1R",3,19,0.971,"0.184-3.308",1,1
"MC2R","MC2R",2,9,1.368,"0.144-6.62",0.658821194906285,1
"MC3R","MC3R",1,14,0.439,"0.01-2.89",0.709996289764432,1
"MC4R","MC4R",2,14,0.879,"0.097-3.834",1,1
"MC5R","MC5R",2,16,0.768,"0.086-3.276",1,1
"MCAM","MCAM",3,18,1.025,"0.193-3.521",1,1
"MCAT","MCAT",4,16,1.54,"0.374-4.786",0.511840078855896,1
"MCC","MCC",10,38,1.625,"0.72-3.336",0.205570191425631,1
"MCCC1","MCCC1",6,24,1.541,"0.514-3.882",0.29881183571356,1
"MCCC2","MCCC2",4,18,1.368,"0.336-4.165",0.53682932860853,1
"MCCD1","MCCD1",3,2,9.246,"1.058-110.869",0.0218867658035343,1
"MCEE","MCEE",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MCF2","MCF2",2,12,1.025,"0.111-4.615",1,1
"MCF2L","MCF2L",9,28,1.986,"0.822-4.343",0.0906511351321768,1
"MCF2L2","MCF2L2",5,26,1.184,"0.354-3.142",0.793547316350366,1
"MCFD2","MCFD2",0,5,0,"0-6.716",1,1
"MCHR1","MCHR1",1,19,0.323,"0.008-2.037",0.345302423023549,1
"MCHR2","MCHR2",2,13,0.946,"0.104-4.189",1,1
"MCIDAS","MCIDAS",1,7,0.879,"0.019-6.851",1,1
"MCL1","MCL1",2,9,1.368,"0.144-6.62",0.658821194906285,1
"MCM10","MCM10",3,18,1.025,"0.193-3.521",1,1
"MCM2","MCM2",6,27,1.369,"0.461-3.395",0.451353533029067,1
"MCM3","MCM3",4,27,0.911,"0.231-2.622",1,1
"MCM3AP","MCM3AP",18,62,1.8,"0.998-3.097",0.0342960095797104,1
"MCM4","MCM4",3,29,0.635,"0.124-2.055",0.612234109145144,1
"MCM5","MCM5",1,33,0.186,"0.005-1.111",0.0782836294257047,1
"MCM6","MCM6",1,15,0.41,"0.01-2.667",0.714917673307461,1
"MCM7","MCM7",2,38,0.322,"0.038-1.251",0.112024097745081,1
"MCM8","MCM8",3,24,0.768,"0.148-2.537",1,1
"MCM9","MCM9",1,26,0.236,"0.006-1.439",0.164555175170179,1
"MCMBP","MCMBP",0,11,0,"0-2.451",0.381372621441588,1
"MCMDC2","MCMDC2",6,19,1.948,"0.635-5.088",0.14891550394642,1
"MCOLN1","MCOLN1",5,12,2.57,"0.708-7.859",0.0772889142146978,1
"MCOLN2","MCOLN2",2,17,0.723,"0.081-3.054",1,1
"MCOLN3","MCOLN3",2,13,0.946,"0.104-4.189",1,1
"MCPH1","MCPH1",5,41,0.749,"0.23-1.9",0.672525387206545,1
"MCRS1","MCRS1",2,13,0.946,"0.104-4.189",1,1
"MCTP1","MCTP1",6,27,1.369,"0.461-3.395",0.451353533029067,1
"MCTP2","MCTP2",11,24,2.838,"1.251-6.04",0.00638130926108363,1
"MCTS1","MCTS1",0,1,0,"0-239.007",1,1
"MCU","MCU",0,9,0,"0-3.117",0.622676612666482,1
"MCUR1","MCUR1",1,17,0.361,"0.009-2.31",0.497844008879486,1
"MDC1","MDC1",7,56,0.767,"0.294-1.694",0.714057142565583,1
"MDFI","MDFI",1,8,0.769,"0.017-5.744",1,1
"MDFIC","MDFIC",4,20,1.231,"0.305-3.685",0.765639688844986,1
"MDGA1","MDGA1",7,38,1.134,"0.426-2.579",0.670265916488591,1
"MDGA2","MDGA2",5,11,2.804,"0.762-8.776",0.0613514563256166,1
"MDH1","MDH1",1,7,0.879,"0.019-6.851",1,1
"MDH1B","MDH1B",2,18,0.683,"0.077-2.859",1,1
"MDH2","MDH2",1,17,0.361,"0.009-2.31",0.497844008879486,1
"MDK","MDK",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MDM1","MDM1",5,26,1.184,"0.354-3.142",0.793547316350366,1
"MDM2","MDM2",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MDM4","MDM4",3,5,3.698,"0.573-19.033",0.0887155240281463,1
"MDN1","MDN1",28,151,1.144,"0.732-1.732",0.512633606206137,1
"MDP1","MDP1",1,6,1.025,"0.022-8.464",1,1
"MDS2","MDS2",0,1,0,"0-239.007",1,1
"ME1","ME1",4,20,1.231,"0.305-3.685",0.765639688844986,1
"ME2","ME2",3,10,1.848,"0.326-7.192",0.410568517995923,1
"ME3","ME3",2,21,0.585,"0.066-2.399",0.761589471370194,1
"MEA1","MEA1",2,8,1.539,"0.159-7.725",0.639392254739406,1
"MEAF6","MEAF6",0,4,0,"0-9.323",1,1
"MECOM","MECOM",6,22,1.681,"0.556-4.289",0.269597015607519,1
"MECP2","MECP2",4,19,1.296,"0.32-3.91",0.552339193553217,1
"MECR","MECR",1,10,0.615,"0.014-4.33",1,1
"MED1","MED1",9,45,1.232,"0.528-2.563",0.554026764648856,1
"MED10","MED10",2,6,2.052,"0.202-11.499",0.310577073195175,1
"MED11","MED11",1,4,1.538,"0.031-15.557",0.529226454405268,1
"MED12","MED12",7,19,2.275,"0.806-5.668",0.0806207857432852,1
"MED12L","MED12L",9,39,1.423,"0.604-2.998",0.302025951193437,1
"MED13","MED13",6,43,0.858,"0.298-2.03",1,1
"MED13L","MED13L",9,45,1.232,"0.528-2.563",0.554026764648856,1
"MED14","MED14",2,14,0.879,"0.097-3.834",1,1
"MED15","MED15",4,27,0.911,"0.231-2.622",1,1
"MED16","MED16",8,67,0.732,"0.303-1.534",0.503881518811329,1
"MED17","MED17",3,24,0.768,"0.148-2.537",1,1
"MED18","MED18",3,9,2.053,"0.357-8.245",0.22966252990832,1
"MED19","MED19",1,3,2.051,"0.039-25.583",0.452645520331089,1
"MED20","MED20",1,7,0.879,"0.019-6.851",1,1
"MED21","MED21",1,7,0.879,"0.019-6.851",1,1
"MED22","MED22",2,6,2.052,"0.202-11.499",0.310577073195175,1
"MED23","MED23",7,18,2.401,"0.846-6.044",0.0732992324207589,1
"MED24","MED24",7,31,1.392,"0.516-3.232",0.477883632813287,1
"MED25","MED25",8,26,1.899,"0.741-4.335",0.131016164384073,1
"MED26","MED26",4,20,1.231,"0.305-3.685",0.765639688844986,1
"MED27","MED27",1,7,0.879,"0.019-6.851",1,1
"MED28","MED28",0,9,0,"0-3.117",0.622676612666482,1
"MED29","MED29",1,11,0.559,"0.013-3.852",1,1
"MED30","MED30",0,3,0,"0-14.893",1,1
"MED31","MED31",0,1,0,"0-239.007",1,1
"MED4","MED4",1,8,0.769,"0.017-5.744",1,1
"MED6","MED6",2,6,2.052,"0.202-11.499",0.310577073195175,1
"MED7","MED7",1,2,3.077,"0.052-59.188",0.363621084433827,1
"MED8","MED8",1,8,0.769,"0.017-5.744",1,1
"MED9","MED9",0,8,0,"0-3.605",0.610068929015988,1
"MEDAG","MEDAG",1,11,0.559,"0.013-3.852",1,1
"MEF2A","MEF2A",1,11,0.559,"0.013-3.852",1,1
"MEF2B","MEF2B",0,12,0,"0-2.214",0.39347571054441,1
"MEF2BNB","MEF2BNB",2,7,1.759,"0.178-9.255",0.365109577660504,1
"MEF2BNB-MEF2B","MEF2BNB-MEF2B",0,14,0,"0-1.854",0.241575351311578,1
"MEF2C","MEF2C",1,6,1.025,"0.022-8.464",1,1
"MEF2D","MEF2D",0,15,0,"0-1.714",0.251141686836283,1
"MEFV","MEFV",4,16,1.54,"0.374-4.786",0.511840078855896,1
"MEGF10","MEGF10",6,25,1.479,"0.495-3.705",0.431092104507621,1
"MEGF11","MEGF11",8,39,1.264,"0.509-2.754",0.5263748669464,1
"MEGF6","MEGF6",14,60,1.441,"0.741-2.621",0.236035150987082,1
"MEGF8","MEGF8",18,81,1.373,"0.772-2.321",0.241482268484988,1
"MEGF9","MEGF9",2,15,0.82,"0.091-3.534",1,1
"MEGT1","MEGT1",2,11,1.119,"0.12-5.136",0.701727828969992,1
"MEI1","MEI1",3,35,0.526,"0.103-1.673",0.353965704966415,1
"MEI4","MEI4",3,8,2.31,"0.394-9.644",0.190882615970189,1
"MEIG1","MEIG1",0,2,0,"0-32.757",1,1
"MEIOB","MEIOB",2,8,1.539,"0.159-7.725",0.639392254739406,1
"MEIS1","MEIS1",0,7,0,"0-4.27",0.603344925597232,1
"MEIS2","MEIS2",0,5,0,"0-6.716",1,1
"MEIS3","MEIS3",5,20,1.54,"0.451-4.242",0.382532454514752,1
"MELK","MELK",1,16,0.384,"0.009-2.476",0.496145436788319,1
"MEMO1","MEMO1",1,3,2.051,"0.039-25.583",0.452645520331089,1
"MEN1","MEN1",1,17,0.361,"0.009-2.31",0.497844008879486,1
"MEOX1","MEOX1",2,8,1.539,"0.159-7.725",0.639392254739406,1
"MEOX2","MEOX2",0,8,0,"0-3.605",0.610068929015988,1
"MEP1A","MEP1A",4,24,1.025,"0.258-2.993",1,1
"MEP1B","MEP1B",5,22,1.4,"0.413-3.8",0.415376105815866,1
"MEPCE","MEPCE",3,14,1.319,"0.243-4.737",0.722097011321823,1
"MEPE","MEPE",3,13,1.421,"0.259-5.182",0.481390254039294,1
"MERTK","MERTK",2,32,0.383,"0.044-1.506",0.219215505865507,1
"MESDC1","MESDC1",2,10,1.231,"0.131-5.787",0.679878101976289,1
"MESDC2","MESDC2",0,3,0,"0-14.893",1,1
"MESP1","MESP1",2,25,0.491,"0.056-1.975",0.57415365729949,1
"MESP2","MESP2",2,13,0.946,"0.104-4.189",1,1
"MEST","MEST",0,3,0,"0-14.893",1,1
"MET","MET",3,23,0.802,"0.154-2.661",1,1
"METAP1","METAP1",3,8,2.31,"0.394-9.644",0.190882615970189,1
"METAP1D","METAP1D",0,7,0,"0-4.27",0.603344925597232,1
"METAP2","METAP2",1,7,0.879,"0.019-6.851",1,1
"METRN","METRN",3,15,1.231,"0.228-4.362",0.731093398242643,1
"METRNL","METRNL",2,7,1.759,"0.178-9.255",0.365109577660504,1
"METTL1","METTL1",2,9,1.368,"0.144-6.62",0.658821194906285,1
"METTL10","METTL10",1,11,0.559,"0.013-3.852",1,1
"METTL11B","METTL11B",3,12,1.539,"0.278-5.716",0.455429043363959,1
"METTL12","METTL12",3,9,2.053,"0.357-8.245",0.22966252990832,1
"METTL13","METTL13",9,22,2.529,"1.022-5.734",0.0316362603760691,1
"METTL14","METTL14",0,5,0,"0-6.716",1,1
"METTL15","METTL15",2,12,1.025,"0.111-4.615",1,1
"METTL16","METTL16",1,5,1.23,"0.026-11.012",0.595101749677219,1
"METTL17","METTL17",8,16,3.091,"1.142-7.679",0.0131568675283975,1
"METTL18","METTL18",3,5,3.698,"0.573-19.033",0.0887155240281463,1
"METTL20","METTL20",4,12,2.054,"0.482-6.795",0.265087990681448,1
"METTL21A","METTL21A",1,3,2.051,"0.039-25.583",0.452645520331089,1
"METTL21B","METTL21B",3,12,1.539,"0.278-5.716",0.455429043363959,1
"METTL21C","METTL21C",3,8,2.31,"0.394-9.644",0.190882615970189,1
"METTL22","METTL22",0,15,0,"0-1.714",0.251141686836283,1
"METTL23","METTL23",1,4,1.538,"0.031-15.557",0.529226454405268,1
"METTL24","METTL24",5,18,1.712,"0.496-4.798",0.358532331212776,1
"METTL25","METTL25",5,32,0.961,"0.292-2.492",1,1
"METTL2A","METTL2A",1,15,0.41,"0.01-2.667",0.714917673307461,1
"METTL2B","METTL2B",2,12,1.025,"0.111-4.615",1,1
"METTL3","METTL3",2,10,1.231,"0.131-5.787",0.679878101976289,1
"METTL4","METTL4",3,10,1.848,"0.326-7.192",0.410568517995923,1
"METTL5","METTL5",2,5,2.463,"0.234-15.066",0.255111685903417,1
"METTL6","METTL6",0,6,0,"0-5.227",1,1
"METTL7A","METTL7A",2,7,1.759,"0.178-9.255",0.365109577660504,1
"METTL7B","METTL7B",4,7,3.524,"0.755-13.89",0.0556606987162643,1
"METTL8","METTL8",2,15,0.82,"0.091-3.534",1,1
"METTL9","METTL9",0,3,0,"0-14.893",1,1
"MEX3A","MEX3A",2,12,1.025,"0.111-4.615",1,1
"MEX3B","MEX3B",4,8,3.083,"0.678-11.529",0.0745428741557966,1
"MEX3C","MEX3C",4,26,0.946,"0.239-2.735",1,1
"MEX3D","MEX3D",6,25,1.479,"0.495-3.705",0.431092104507621,1
"MFAP1","MFAP1",3,8,2.31,"0.394-9.644",0.190882615970189,1
"MFAP2","MFAP2",3,5,3.698,"0.573-19.033",0.0887155240281463,1
"MFAP3","MFAP3",4,12,2.054,"0.482-6.795",0.265087990681448,1
"MFAP3L","MFAP3L",4,7,3.524,"0.755-13.89",0.0556606987162643,1
"MFAP4","MFAP4",0,7,0,"0-4.27",0.603344925597232,1
"MFAP5","MFAP5",1,7,0.879,"0.019-6.851",1,1
"MFF","MFF",5,10,3.085,"0.826-9.93",0.0474611891561284,1
"MFGE8","MFGE8",1,16,0.384,"0.009-2.476",0.496145436788319,1
"MFHAS1","MFHAS1",11,42,1.617,"0.749-3.21",0.162380756629079,1
"MFI2","MFI2",8,29,1.702,"0.671-3.83",0.228666053552025,1
"MFN1","MFN1",1,18,0.341,"0.008-2.165",0.50323536378801,1
"MFN2","MFN2",3,23,0.802,"0.154-2.661",1,1
"MFNG","MFNG",2,11,1.119,"0.12-5.136",0.701727828969992,1
"MFRP","MFRP",14,27,3.219,"1.555-6.382",0.000886686456432379,1
"MFSD1","MFSD1",1,10,0.615,"0.014-4.33",1,1
"MFSD10","MFSD10",8,24,2.058,"0.797-4.751",0.0765854086621856,1
"MFSD11","MFSD11",3,8,2.31,"0.394-9.644",0.190882615970189,1
"MFSD12","MFSD12",8,36,1.37,"0.548-3.008",0.385674507349604,1
"MFSD2A","MFSD2A",0,15,0,"0-1.714",0.251141686836283,1
"MFSD2B","MFSD2B",3,11,1.679,"0.3-6.372",0.431542721818455,1
"MFSD3","MFSD3",4,22,1.119,"0.28-3.304",0.777283883271066,1
"MFSD4","MFSD4",1,7,0.879,"0.019-6.851",1,1
"MFSD5","MFSD5",3,13,1.421,"0.259-5.182",0.481390254039294,1
"MFSD6","MFSD6",1,21,0.292,"0.007-1.821",0.350727573120309,1
"MFSD6L","MFSD6L",4,12,2.054,"0.482-6.795",0.265087990681448,1
"MFSD7","MFSD7",2,24,0.512,"0.059-2.066",0.568979735906133,1
"MFSD8","MFSD8",4,15,1.643,"0.396-5.169",0.326861544700347,1
"MFSD9","MFSD9",2,12,1.025,"0.111-4.615",1,1
"MGA","MGA",13,41,1.962,"0.961-3.752",0.045764406767687,1
"MGAM","MGAM",18,69,1.615,"0.901-2.758",0.0850522207032174,1
"MGARP","MGARP",1,7,0.879,"0.019-6.851",1,1
"MGAT1","MGAT1",1,8,0.769,"0.017-5.744",1,1
"MGAT2","MGAT2",1,8,0.769,"0.017-5.744",1,1
"MGAT3","MGAT3",1,6,1.025,"0.022-8.464",1,1
"MGAT4A","MGAT4A",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MGAT4B","MGAT4B",3,13,1.421,"0.259-5.182",0.481390254039294,1
"MGAT4C","MGAT4C",1,10,0.615,"0.014-4.33",1,1
"MGAT5","MGAT5",1,11,0.559,"0.013-3.852",1,1
"MGAT5B","MGAT5B",6,26,1.422,"0.477-3.544",0.440306786557618,1
"MGC4294","MGC4294",1,3,2.051,"0.039-25.583",0.452645520331089,1
"MGC4771","MGC4771",1,1,6.154,"0.078-481.339",0.260133490143103,1
"MGEA5","MGEA5",3,9,2.053,"0.357-8.245",0.22966252990832,1
"MGLL","MGLL",1,5,1.23,"0.026-11.012",0.595101749677219,1
"MGME1","MGME1",5,9,3.428,"0.901-11.42",0.0356244300334382,1
"MGMT","MGMT",3,11,1.679,"0.3-6.372",0.431542721818455,1
"MGP","MGP",3,2,9.246,"1.058-110.869",0.0218867658035343,1
"MGRN1","MGRN1",6,32,1.154,"0.394-2.808",0.644781089050364,1
"MGST1","MGST1",1,5,1.23,"0.026-11.012",0.595101749677219,1
